run_label,round,n_run,t_run,flywire_id,reference_backend,comparison_backend,reference_framework,comparison_framework,reference_rate_hz,comparison_rate_hz
nature_2026_05,1,1,0.1,720575940626626597,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),20.0,20.0
nature_2026_05,1,1,0.1,720575940626835146,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),70.0,80.0
nature_2026_05,1,1,0.1,720575940626870846,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),0.0,10.0
nature_2026_05,1,1,0.1,720575940626972056,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),40.0,30.0
nature_2026_05,1,1,0.1,720575940626993694,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),30.0,10.0
nature_2026_05,1,1,0.1,720575940626999464,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),10.0,10.0
nature_2026_05,1,1,0.1,720575940627083294,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),20.0,20.0
nature_2026_05,1,1,0.1,720575940627086594,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),30.0,20.0
nature_2026_05,1,1,0.1,720575940627099338,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),50.0,20.0
nature_2026_05,1,1,0.1,720575940627107271,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),10.0,10.0
nature_2026_05,1,1,0.1,720575940627312668,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),10.0,0.0
nature_2026_05,1,1,0.1,720575940627383685,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),140.0,130.0
nature_2026_05,1,1,0.1,720575940627410451,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),40.0,20.0
nature_2026_05,1,1,0.1,720575940627779983,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),20.0,10.0
nature_2026_05,1,1,0.1,720575940627812168,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),20.0,30.0
nature_2026_05,1,1,0.1,720575940627828296,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),10.0,10.0
nature_2026_05,1,1,0.1,720575940627847752,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),50.0,40.0
nature_2026_05,1,1,0.1,720575940628070419,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),0.0,10.0
nature_2026_05,1,1,0.1,720575940628114684,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),80.0,70.0
nature_2026_05,1,1,0.1,720575940628446010,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),20.0,30.0
nature_2026_05,1,1,0.1,720575940628598121,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),70.0,70.0
nature_2026_05,1,1,0.1,720575940628648809,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),50.0,40.0
nature_2026_05,1,1,0.1,720575940628676457,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),20.0,20.0
nature_2026_05,1,1,0.1,720575940628743752,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),50.0,60.0
nature_2026_05,1,1,0.1,720575940628755815,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),40.0,70.0
nature_2026_05,1,1,0.1,720575940628802069,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),10.0,0.0
nature_2026_05,1,1,0.1,720575940628815381,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),10.0,10.0
nature_2026_05,1,1,0.1,720575940628826128,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),50.0,30.0
nature_2026_05,1,1,0.1,720575940628853239,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),170.0,180.0
nature_2026_05,1,1,0.1,720575940628972048,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),50.0,40.0
nature_2026_05,1,1,0.1,720575940628995331,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),10.0,0.0
nature_2026_05,1,1,0.1,720575940628997123,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),20.0,10.0
nature_2026_05,1,1,0.1,720575940628998659,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),30.0,20.0
nature_2026_05,1,1,0.1,720575940629000783,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),20.0,20.0
nature_2026_05,1,1,0.1,720575940629176663,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),240.0,280.0
nature_2026_05,1,1,0.1,720575940629207963,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),30.0,20.0
nature_2026_05,1,1,0.1,720575940629239934,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),10.0,10.0
nature_2026_05,1,1,0.1,720575940629421415,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),10.0,10.0
nature_2026_05,1,1,0.1,720575940629561347,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),30.0,20.0
nature_2026_05,1,1,0.1,720575940629623351,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),10.0,10.0
nature_2026_05,1,1,0.1,720575940629778554,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),90.0,90.0
